run_id,created_at,horizon_start,horizon_end,provenance
proj-20260817T190826,2026-08-17T19:08:26.312218+00:00,1.0,8.0,"{""goal_model"": {""home_advantage"": 0.1613, ""rho"": -0.1093, ""n_teams"": 23}, ""minutes"": {""players"": 590, ""mean_p_start"": 0.319, ""unavailable"": 75}, ""defcon"": {""players"": 524, ""mean_p_defcon"": 0.188}}"
ingest-20260817T190824,2026-08-17T19:08:24.409378+00:00,,,"{""connectivity"": {""fpl_api"": {""ok"": true, ""status"": 200}, ""github_raw"": {""ok"": true, ""status"": 200}, ""github_alt"": {""ok"": true, ""status"": 200}, ""club_elo"": {""ok"": false, ""error"": ""ReadTimeout""}, ""understat"": {""ok"": true, ""status"": 200}}, ""teams_current"": ""live"", ""players_current"": ""live"", ""fixtures_current"": ""live"", ""teams_2024-25"": ""github"", ""players_2024-25"": ""github"", ""fixtures_2024-25"": ""github"", ""gw_2024-25"": ""github"", ""teams_2025-26"": ""github"", ""players_2025-26"": ""github"", ""fixtures_2025-26"": ""github"", ""gw_2025-26"": ""github"", ""gw_2026-27"": ""none (season not started)""}"
proj-20260817T190705,2026-08-17T19:07:05.172237+00:00,1.0,6.0,"{""goal_model"": {""home_advantage"": 0.1613, ""rho"": -0.1093, ""n_teams"": 23}, ""minutes"": {""players"": 590, ""mean_p_start"": 0.319, ""unavailable"": 75}, ""defcon"": {""players"": 524, ""mean_p_defcon"": 0.188}}"
ingest-20260817T190703,2026-08-17T19:07:03.650735+00:00,,,"{""connectivity"": {""fpl_api"": {""ok"": true, ""status"": 200}, ""github_raw"": {""ok"": true, ""status"": 200}, ""github_alt"": {""ok"": true, ""status"": 200}, ""club_elo"": {""ok"": false, ""error"": ""ReadTimeout""}, ""understat"": {""ok"": true, ""status"": 200}}, ""teams_current"": ""live"", ""players_current"": ""live"", ""fixtures_current"": ""live"", ""teams_2024-25"": ""github"", ""players_2024-25"": ""github"", ""fixtures_2024-25"": ""github"", ""gw_2024-25"": ""github"", ""teams_2025-26"": ""github"", ""players_2025-26"": ""github"", ""fixtures_2025-26"": ""github"", ""gw_2025-26"": ""github"", ""gw_2026-27"": ""none (season not started)""}"
proj-20260817T190614,2026-08-17T19:06:14.898167+00:00,1.0,6.0,"{""goal_model"": {""home_advantage"": 0.1613, ""rho"": -0.1093, ""n_teams"": 23}, ""minutes"": {""players"": 590, ""mean_p_start"": 0.319, ""unavailable"": 75}, ""defcon"": {""players"": 524, ""mean_p_defcon"": 0.188}}"
ingest-20260817T190613,2026-08-17T19:06:13.382558+00:00,,,"{""connectivity"": {""fpl_api"": {""ok"": true, ""status"": 200}, ""github_raw"": {""ok"": true, ""status"": 200}, ""github_alt"": {""ok"": true, ""status"": 200}, ""club_elo"": {""ok"": false, ""error"": ""ReadTimeout""}, ""understat"": {""ok"": true, ""status"": 200}}, ""teams_current"": ""live"", ""players_current"": ""live"", ""fixtures_current"": ""live"", ""teams_2024-25"": ""github"", ""players_2024-25"": ""github"", ""fixtures_2024-25"": ""github"", ""gw_2024-25"": ""github"", ""teams_2025-26"": ""github"", ""players_2025-26"": ""github"", ""fixtures_2025-26"": ""github"", ""gw_2025-26"": ""github"", ""gw_2026-27"": ""none (season not started)""}"
proj-20260817T190544,2026-08-17T19:05:44.440710+00:00,1.0,6.0,"{""goal_model"": {""home_advantage"": 0.1613, ""rho"": -0.1093, ""n_teams"": 23}, ""minutes"": {""players"": 590, ""mean_p_start"": 0.319, ""unavailable"": 75}, ""defcon"": {""players"": 524, ""mean_p_defcon"": 0.188}}"
ingest-20260817T190542,2026-08-17T19:05:42.941587+00:00,,,"{""connectivity"": {""fpl_api"": {""ok"": true, ""status"": 200}, ""github_raw"": {""ok"": true, ""status"": 200}, ""github_alt"": {""ok"": true, ""status"": 200}, ""club_elo"": {""ok"": false, ""error"": ""ReadTimeout""}, ""understat"": {""ok"": true, ""status"": 200}}, ""teams_current"": ""live"", ""players_current"": ""live"", ""fixtures_current"": ""live"", ""teams_2024-25"": ""github"", ""players_2024-25"": ""github"", ""fixtures_2024-25"": ""github"", ""gw_2024-25"": ""github"", ""teams_2025-26"": ""github"", ""players_2025-26"": ""github"", ""fixtures_2025-26"": ""github"", ""gw_2025-26"": ""github"", ""gw_2026-27"": ""none (season not started)""}"
ingest-20260817T190520,2026-08-17T19:05:20.246223+00:00,,,"{""connectivity"": {""fpl_api"": {""ok"": true, ""status"": 200}, ""github_raw"": {""ok"": true, ""status"": 200}, ""github_alt"": {""ok"": true, ""status"": 200}, ""club_elo"": {""ok"": false, ""error"": ""ReadTimeout""}, ""understat"": {""ok"": true, ""status"": 200}}, ""teams_current"": ""live"", ""players_current"": ""live"", ""fixtures_current"": ""live"", ""teams_2024-25"": ""github"", ""players_2024-25"": ""github"", ""fixtures_2024-25"": ""github"", ""gw_2024-25"": ""github"", ""teams_2025-26"": ""github"", ""players_2025-26"": ""github"", ""fixtures_2025-26"": ""github"", ""gw_2025-26"": ""github"", ""gw_2026-27"": ""none (season not started)""}"
proj-20260817T184353,2026-08-17T18:43:53.894208+00:00,1.0,8.0,"{""goal_model"": {""home_advantage"": 0.1613, ""rho"": -0.1093, ""n_teams"": 23}, ""minutes"": {""players"": 590, ""mean_p_start"": 0.319, ""unavailable"": 75}, ""defcon"": {""players"": 524, ""mean_p_defcon"": 0.188}}"
